NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_MEN;POP_WOMEN;POP_TOTAL;REF_DATE
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62125;Pernegg an der Mur ;1182;1196;2378;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62128;Sankt Lorenzen im Mürztal ;1791;1816;3607;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62131;Spital am Semmering ;799;751;1550;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62132;Stanz im Mürztal ;923;906;1829;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62135;Turnau ;750;789;1539;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62138;Aflenz ;1218;1209;2427;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62139;Bruck an der Mur ;7635;8215;15850;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62140;Kapfenberg ;11243;11761;23004;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62141;Kindberg ;4006;4124;8130;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62142;Mariazell ;1840;2046;3886;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62143;Mürzzuschlag ;4153;4439;8592;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62144;Neuberg an der Mürz ;1351;1267;2618;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62145;Sankt Barbara im Mürztal;3238;3399;6637;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62146;Sankt Marein im Mürztal ;1316;1391;2707;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62147;Thörl ;1147;1164;2311;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62148;Tragöß-Sankt Katharein ;938;949;1887;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62202;Bad Blumau ;810;814;1624;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62205;Buch-Sankt Magdalena;1106;1069;2175;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62206;Burgau ;521;530;1051;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62209;Ebersdorf ;626;631;1257;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62211;Friedberg ;1269;1307;2576;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62214;Greinbach ;906;894;1800;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62216;Großsteinbach ;648;608;1256;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62219;Hartberg ;3049;3512;6561;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62220;Hartberg Umgebung ;1161;1082;2243;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62226;Lafnitz ;762;710;1472;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62232;Ottendorf an der Rittschein ;771;788;1559;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62233;Pinggau ;1623;1557;3180;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62235;Pöllauberg ;1044;1025;2069;01.01.2017
